epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,7353.85,0.64006,1.21533,0.5608,1.06251,0.88585,0.71179,0.7916,0.63852,0.8293,0.75414,0.78313,0.61477,0.84763,1.75546,0.88631,1.06535,0.007129,0.007129,0.007129
31,8101.65,0.62965,1.20131,0.55687,1.05515,0.92417,0.69385,0.77195,0.60907,0.92206,0.69126,0.76898,0.61652,0.85805,1.76891,0.89403,1.08537,0.00703,0.00703,0.00703
32,8848.83,0.6277,1.19646,0.55366,1.05406,0.89094,0.71608,0.79417,0.62856,0.86094,0.73425,0.79249,0.62181,0.85548,1.79244,0.86788,1.12737,0.006931,0.006931,0.006931
33,9597.02,0.62339,1.18633,0.5476,1.05553,0.91575,0.68902,0.82391,0.6608,0.9144,0.68801,0.80862,0.63265,0.79736,1.78654,0.76872,1.03983,0.006832,0.006832,0.006832
34,10344.6,0.61463,1.18062,0.54172,1.04567,0.89652,0.68521,0.78782,0.64036,0.89497,0.68471,0.76393,0.59604,0.80178,1.81746,0.83185,1.0659,0.006733,0.006733,0.006733
35,11091.8,0.62137,1.17686,0.54172,1.04941,0.91199,0.68648,0.79743,0.63243,0.90693,0.68267,0.77949,0.60499,0.83306,1.77582,0.82055,1.08714,0.006634,0.006634,0.006634
36,11839.6,0.60552,1.14662,0.51835,1.04124,0.91665,0.70427,0.77782,0.63486,0.91549,0.6963,0.76587,0.60385,0.77866,1.94522,0.83825,1.03129,0.006535,0.006535,0.006535
37,12587.4,0.6102,1.14104,0.52495,1.04073,0.92916,0.69646,0.75968,0.60796,0.9233,0.70122,0.75453,0.59431,0.83563,1.80844,0.95154,1.09356,0.006436,0.006436,0.006436
38,13335.4,0.60378,1.14862,0.51855,1.04097,0.91953,0.69676,0.77672,0.62991,0.91977,0.69665,0.77158,0.61753,0.80793,1.72371,0.85392,1.04702,0.006337,0.006337,0.006337
39,14083.7,0.60306,1.14373,0.5171,1.03961,0.92496,0.70046,0.76093,0.61077,0.92392,0.7004,0.77558,0.6055,0.87569,1.76359,0.95266,1.13701,0.006238,0.006238,0.006238
40,14832.1,0.60646,1.13552,0.51249,1.03744,0.92003,0.69868,0.80421,0.64725,0.91724,0.69792,0.79276,0.60774,0.82594,1.82823,0.83188,1.06265,0.006139,0.006139,0.006139
41,15581.1,0.60134,1.14259,0.51333,1.03641,0.9141,0.70567,0.80755,0.65164,0.90694,0.71392,0.77899,0.60708,0.81011,1.79932,0.78479,1.0568,0.00604,0.00604,0.00604
42,16329.7,0.59584,1.12665,0.5057,1.03421,0.92201,0.69985,0.77658,0.63939,0.9164,0.70351,0.76774,0.61876,0.78617,1.59733,0.84595,1.01412,0.005941,0.005941,0.005941
43,17078.7,0.59697,1.12211,0.5031,1.03453,0.92418,0.69987,0.80307,0.6394,0.9222,0.69741,0.79148,0.62553,0.79314,1.69163,0.80592,1.01704,0.005842,0.005842,0.005842
44,17826.7,0.5869,1.10555,0.49559,1.02872,0.93788,0.67894,0.802,0.65202,0.93999,0.68047,0.79718,0.64082,0.78049,1.57927,0.79745,1.00826,0.005743,0.005743,0.005743
45,18576.3,0.58615,1.10742,0.49201,1.02982,0.94425,0.69665,0.83199,0.65305,0.94459,0.69726,0.81851,0.62909,0.82478,1.75982,0.75263,1.0508,0.005644,0.005644,0.005644
46,19325.7,0.58416,1.09337,0.48519,1.02846,0.93536,0.70218,0.81088,0.63975,0.93231,0.69991,0.80167,0.62517,0.84356,1.75811,0.81444,1.06398,0.005545,0.005545,0.005545
47,20076,0.5781,1.08772,0.47836,1.02126,0.92477,0.71829,0.78076,0.62637,0.92052,0.71504,0.77032,0.61609,0.86598,1.85984,0.88296,1.09622,0.005446,0.005446,0.005446
48,20827.6,0.57534,1.08348,0.47843,1.02184,0.93115,0.71466,0.7896,0.62717,0.92528,0.71099,0.77923,0.62091,0.8766,1.8622,0.86291,1.09337,0.005347,0.005347,0.005347
49,21578.1,0.57598,1.08207,0.47885,1.02269,0.94386,0.70057,0.78736,0.63052,0.93907,0.69702,0.78837,0.61884,0.83949,1.93487,0.84589,1.06941,0.005248,0.005248,0.005248
50,22330.2,0.57671,1.09071,0.47771,1.0209,0.95213,0.69732,0.81557,0.64333,0.94831,0.6945,0.79624,0.62808,0.83994,1.83236,0.77242,1.06744,0.005149,0.005149,0.005149
51,23083.4,0.56987,1.07261,0.47346,1.01663,0.92919,0.71678,0.80298,0.65019,0.9271,0.71731,0.79433,0.63711,0.81402,1.76357,0.80629,1.04117,0.00505,0.00505,0.00505
52,23838,0.5675,1.04774,0.46331,1.01422,0.9287,0.71816,0.79687,0.63643,0.92661,0.71799,0.7894,0.63718,0.83242,1.67132,0.86262,1.06507,0.004951,0.004951,0.004951
53,24592.9,0.56323,1.05236,0.4569,1.01031,0.91213,0.7358,0.80561,0.64724,0.91339,0.73946,0.7984,0.64604,0.81065,1.64259,0.80168,1.06128,0.004852,0.004852,0.004852
54,25348.7,0.55989,1.03512,0.4505,1.01212,0.90737,0.74164,0.81634,0.66763,0.91032,0.73679,0.80521,0.66122,0.73108,1.58436,0.73089,0.98645,0.004753,0.004753,0.004753
55,628.397,0.54632,1.01421,0.43754,0.99998,0.92356,0.73882,0.80628,0.66295,0.92655,0.72891,0.79479,0.65753,0.71733,1.57905,0.7592,0.98671,0.004654,0.004654,0.004654
56,1316.23,0.54858,1.02347,0.44626,1.00434,0.86312,0.785,0.81864,0.66177,0.86061,0.78272,0.80586,0.65915,0.75602,1.58992,0.79259,1.01534,0.004555,0.004555,0.004555
57,1945.34,0.54857,1.01701,0.44085,1.00343,0.92256,0.78862,0.82688,0.66966,0.90483,0.78989,0.81455,0.66598,0.75591,1.66363,0.77709,1.02641,0.004456,0.004456,0.004456
58,2559.71,0.54595,1.0058,0.44049,1.00145,0.88095,0.76708,0.82127,0.6763,0.92202,0.72891,0.81091,0.669,0.76068,1.66803,0.82855,1.01526,0.004357,0.004357,0.004357
59,3174.26,0.54343,1.00105,0.43161,1.00141,0.93435,0.7782,0.8279,0.65997,0.93374,0.77769,0.82013,0.66389,0.79637,1.66493,0.77289,1.04509,0.004258,0.004258,0.004258
60,3789.45,0.53341,0.98772,0.42569,0.997,0.9377,0.77628,0.8315,0.67301,0.93248,0.77196,0.81689,0.66072,0.73953,1.70976,0.77513,0.99014,0.004159,0.004159,0.004159
61,4541.89,0.53736,1.00225,0.42956,0.99826,0.92588,0.76474,0.826,0.68551,0.91712,0.75908,0.81114,0.66596,0.71704,1.68747,0.7896,0.97362,0.00406,0.00406,0.00406
62,5298.66,0.52643,0.97562,0.42074,0.99402,0.92658,0.74568,0.83102,0.69467,0.91922,0.73984,0.81774,0.67246,0.68582,1.67426,0.72966,0.95318,0.003961,0.003961,0.003961
63,6059.4,0.52855,0.98557,0.42297,0.99045,0.91715,0.74822,0.82635,0.68978,0.90694,0.74528,0.81256,0.66468,0.69678,1.65124,0.74087,0.96746,0.003862,0.003862,0.003862
64,6812.98,0.53518,0.98717,0.42316,0.99355,0.90308,0.74572,0.82514,0.68736,0.89384,0.73831,0.80956,0.67337,0.71093,1.63098,0.7747,0.98345,0.003763,0.003763,0.003763
65,7436.81,0.52326,0.97174,0.41395,0.98822,0.90337,0.73908,0.82164,0.67614,0.89617,0.73526,0.81092,0.66884,0.72836,1.59141,0.77697,0.986,0.003664,0.003664,0.003664
66,8062.45,0.52277,0.96432,0.41351,0.98587,0.92073,0.71367,0.81726,0.678,0.91418,0.71177,0.80547,0.67196,0.70525,1.54444,0.76499,0.96569,0.003565,0.003565,0.003565
67,8690.95,0.51801,0.96002,0.41036,0.98383,0.85843,0.7594,0.82237,0.69181,0.84412,0.76083,0.81152,0.67927,0.69518,1.55336,0.7467,0.95568,0.003466,0.003466,0.003466
68,9319.56,0.51459,0.94868,0.40512,0.98725,0.85168,0.77439,0.82376,0.68687,0.85365,0.77693,0.81608,0.67806,0.70692,1.55655,0.76494,0.96804,0.003367,0.003367,0.003367
69,9951.2,0.51273,0.94677,0.40466,0.98218,0.87562,0.74187,0.81889,0.67852,0.91744,0.71113,0.81166,0.66763,0.71288,1.56971,0.75162,0.97275,0.003268,0.003268,0.003268
70,10581.3,0.51656,0.94934,0.40459,0.9842,0.92319,0.72612,0.8137,0.68144,0.92148,0.7251,0.80769,0.66713,0.69772,1.56795,0.74087,0.96997,0.003169,0.003169,0.003169
71,11215.7,0.5043,0.93019,0.39206,0.97867,0.92492,0.74289,0.81226,0.68477,0.92393,0.74238,0.80847,0.66826,0.67809,1.54136,0.71179,0.94563,0.00307,0.00307,0.00307
72,11909.9,0.50741,0.92379,0.39532,0.97817,0.92981,0.74416,0.8128,0.68625,0.92972,0.74416,0.80701,0.67002,0.67199,1.59116,0.71656,0.9379,0.002971,0.002971,0.002971
73,12534.8,0.50518,0.9357,0.39138,0.97963,0.92556,0.74231,0.81404,0.68806,0.92444,0.74187,0.80689,0.67484,0.66367,1.58385,0.73341,0.93404,0.002872,0.002872,0.002872
74,13155.6,0.5005,0.9273,0.38981,0.97716,0.9308,0.75178,0.81376,0.69014,0.92902,0.74815,0.8074,0.67538,0.66306,1.61737,0.73623,0.93124,0.002773,0.002773,0.002773
75,13768.6,0.50055,0.91578,0.38421,0.97344,0.93477,0.74848,0.80804,0.68316,0.93001,0.74466,0.80004,0.66974,0.67101,1.63472,0.75559,0.93611,0.002674,0.002674,0.002674
76,14381.9,0.49735,0.9242,0.38535,0.9723,0.92973,0.74644,0.80748,0.68415,0.93006,0.74136,0.80039,0.6665,0.66878,1.65385,0.75347,0.93745,0.002575,0.002575,0.002575
77,14994.9,0.49873,0.91192,0.38251,0.97539,0.9224,0.75279,0.80697,0.687,0.91776,0.74898,0.80005,0.66525,0.66058,1.65461,0.75287,0.934,0.002476,0.002476,0.002476
78,15608.3,0.49279,0.90523,0.38175,0.97235,0.92703,0.74885,0.81005,0.68863,0.9235,0.74528,0.80348,0.67037,0.67018,1.65708,0.7519,0.94048,0.002377,0.002377,0.002377
79,16222.1,0.48893,0.89495,0.37476,0.97108,0.92702,0.74871,0.812,0.69154,0.92324,0.74543,0.80707,0.67415,0.67477,1.66284,0.75363,0.94293,0.002278,0.002278,0.002278
80,16835,0.48341,0.89414,0.37082,0.96861,0.92569,0.75013,0.81644,0.69568,0.92119,0.74537,0.80997,0.67436,0.67941,1.6761,0.75811,0.94384,0.002179,0.002179,0.002179
81,17448.3,0.4838,0.88859,0.3694,0.96868,0.92767,0.74644,0.81801,0.69605,0.9223,0.74212,0.81226,0.67224,0.68001,1.68491,0.75925,0.94172,0.00208,0.00208,0.00208
82,18061,0.48185,0.88613,0.36763,0.96561,0.93439,0.74441,0.82075,0.69688,0.92921,0.74085,0.81433,0.6729,0.68484,1.69001,0.76113,0.94268,0.001981,0.001981,0.001981
83,18674.9,0.479,0.88114,0.36452,0.96652,0.93199,0.74644,0.81664,0.69199,0.92429,0.74446,0.8097,0.66832,0.68969,1.70209,0.76632,0.94635,0.001882,0.001882,0.001882
84,641.155,0.46563,0.85451,0.34917,0.95663,0.92735,0.74848,0.81514,0.69365,0.92672,0.7422,0.80813,0.66809,0.68337,1.70098,0.77201,0.94354,0.001783,0.001783,0.001783
85,1290.54,0.46592,0.86562,0.35237,0.95857,0.92596,0.74986,0.81778,0.69715,0.92115,0.74466,0.81001,0.67132,0.67747,1.69513,0.76869,0.94072,0.001684,0.001684,0.001684
86,624.077,0.45227,0.83323,0.33941,0.95018,0.92752,0.74949,0.81555,0.69639,0.92138,0.74441,0.80854,0.67093,0.67846,1.69573,0.7798,0.94297,0.001585,0.001585,0.001585
87,1241.33,0.45724,0.85199,0.34789,0.95447,0.93022,0.75,0.81445,0.69619,0.92656,0.74619,0.80747,0.67277,0.67904,1.6929,0.78708,0.94372,0.001486,0.001486,0.001486
88,1856.1,0.46566,0.85491,0.34905,0.95728,0.92682,0.74977,0.81597,0.69828,0.92308,0.74593,0.80956,0.67561,0.67834,1.69076,0.78563,0.94451,0.001387,0.001387,0.001387
89,2471.11,0.46318,0.84646,0.34754,0.9567,0.92671,0.75102,0.81844,0.6992,0.92267,0.74517,0.81055,0.67694,0.68016,1.69381,0.78457,0.9478,0.001288,0.001288,0.001288
90,3086.2,0.45992,0.84092,0.34088,0.95617,0.92557,0.74875,0.81906,0.70074,0.92313,0.74517,0.8112,0.6787,0.68068,1.69529,0.78044,0.94932,0.001189,0.001189,0.001189
